28323926|t|Psychological Distress Is More Prevalent in Fertile Age and Premenopausal Women with PCOS Symptoms -15-yr Follow-up
28323926|a|Polycystic ovary syndrome (PCOS) is associated with increased psychological distress; obesity and hyperandrogenism being suggested as key promoters. To investigate the prevalence of anxiety / depression and their coexistence in women with PCOS / PCOS symptoms at age s 31 and 46. The roles of obesity, hyperandrogenism and awareness of PCOS on psychological distress were also assessed. Population based follow-up. Northern Finland Birth Cohort 1966 with 15- year follow-up. At age 31 a questionnaire-based screening for oligoamenorrhea (OA) and hirsutism (H): 2188 asymptomatic (controls), 331 OA, 323 H, 125 OA + H (PCOS). 46 year old follow-up: 1576 controls, 239 OA, 231 H and 85 PCOS. Questionnaire-based screening for anxiety and depression symptoms (Hopkins Symptom Checklist-25) and previously diagnosed / treated depression at age 31 and 46. BMI, serum testosterone / free androgen index (FAI) and awareness of polycystic ovaries / PCOS on psychological distress were also assessed. Population-based prevalence of anxiety and/or depression in women with PCOS / PCOS symptoms at age s 31 and 46. Anxiety and/or depression symptoms, their coexistence and rate of depression were increased at age 31 and 46 in women with PCOS or isolated H compared with controls. High BMI or hyperandrogenism did not associate with increased anxiety or depression symptoms. The awareness of PCOS was associated with increased anxiety. Women with PCOS or isolated H present more often with anxiety and/or depression symptoms and their coexistence compared with controls. High BMI or hyperandrogenism did not provoke psychological distress in PCOS. The awareness of PCOS increased anxiety but did not associate with severe anxiety or depression.
28323926	44	51	Fertile	T038	UMLS:C0015895
28323926	682	694	asymptomatic	T033	UMLS:C0231221
28323926	711	713	OA	T038	UMLS:C0028949
28323926	719	720	H	T038	UMLS:C0271610
28323926	726	728	OA	T038	UMLS:C0028949
28323926	731	732	H	T038	UMLS:C0271610
28323926	734	738	PCOS	T038	UMLS:C0032460
28323926	753	762	follow-up	T058	UMLS:C1522577
28323926	783	785	OA	T038	UMLS:C0028949
28323926	791	792	H	T038	UMLS:C0271610
28323926	800	804	PCOS	T038	UMLS:C0032460
28323926	806	835	Questionnaire-based screening	T062	UMLS:C1134635
28323926	840	847	anxiety	T038	UMLS:C0003469
28323926	852	871	depression symptoms	T033	UMLS:C0086132
28323926	873	901	Hopkins Symptom Checklist-25	T170	UMLS:C0451218
28323926	918	927	diagnosed	T033	UMLS:C0011900
28323926	930	937	treated	T033	UMLS:C0332154
28323926	938	948	depression	T038	UMLS:C0011581
28323926	967	970	BMI	T201	UMLS:C1305855
28323926	993	1012	free androgen index	T058	UMLS:C0428629
28323926	1014	1017	FAI	T058	UMLS:C0428629
28323926	1023	1032	awareness	T038	UMLS:C0004448
28323926	1036	1054	polycystic ovaries	T038	UMLS:C0032460
28323926	1057	1061	PCOS	T038	UMLS:C0032460
28323926	1139	1146	anxiety	T038	UMLS:C0003469
28323926	1154	1164	depression	T038	UMLS:C0011581
28323926	1168	1173	women	T098	UMLS:C0043210
28323926	1179	1183	PCOS	T038	UMLS:C0032460
28323926	1186	1190	PCOS	T038	UMLS:C0032460
28323926	1191	1199	symptoms	T033	UMLS:C1457887
28323926	1220	1227	Anxiety	T038	UMLS:C0003469
28323926	1235	1254	depression symptoms	T033	UMLS:C0086132
28323926	1286	1296	depression	T038	UMLS:C0011581
28323926	1332	1337	women	T098	UMLS:C0043210
28323926	1343	1347	PCOS	T038	UMLS:C0032460
28323926	1360	1361	H	T038	UMLS:C0271610
28323926	1391	1394	BMI	T201	UMLS:C1305855
28323926	1398	1414	hyperandrogenism	T038	UMLS:C0206081
28323926	1448	1455	anxiety	T038	UMLS:C0003469
28323926	1459	1478	depression symptoms	T033	UMLS:C0086132
28323926	1484	1493	awareness	T038	UMLS:C0004448
28323926	1497	1501	PCOS	T038	UMLS:C0032460
28323926	1532	1539	anxiety	T038	UMLS:C0003469
28323926	1541	1546	Women	T098	UMLS:C0043210
28323926	1552	1556	PCOS	T038	UMLS:C0032460
28323926	1569	1570	H	T038	UMLS:C0271610
28323926	1595	1602	anxiety	T038	UMLS:C0003469
28323926	1610	1629	depression symptoms	T033	UMLS:C0086132
28323926	1681	1684	BMI	T201	UMLS:C1305855
28323926	1688	1704	hyperandrogenism	T038	UMLS:C0206081
28323926	1747	1751	PCOS	T038	UMLS:C0032460
28323926	1757	1766	awareness	T038	UMLS:C0004448
28323926	1770	1774	PCOS	T038	UMLS:C0032460
28323926	1785	1792	anxiety	T038	UMLS:C0003469
28323926	1827	1834	anxiety	T038	UMLS:C0003469
28323926	1838	1848	depression	T038	UMLS:C0011581
