27603917|t|Structural, Culinary, Nutritional and Anti-Nutritional Properties of High Protein, Gluten Free, 100% Legume Pasta
27603917|a|Wheat pasta has a compact structure built by a gluten network entrapping starch granules resulting in a low glycemic index, but is nevertheless unsuitable for gluten - intolerant people. High protein gluten-free legume flours, rich in fibers, resistant starch and minerals are thus a good alternative for gluten-free pasta production. In this study, gluten-free pasta was produced exclusively from faba, lentil or black-gram flours. The relationship between their structure, their cooking and Rheological properties and their in-vitro starch digestion was analyzed and compared to cereal gluten-free commercial pasta. Trypsin inhibitory activity, phytic acid and α-galactosides were determined in flours and in cooked pasta. All legume pasta were rich in protein, resistant starch and fibers. They had a thick but weak protein network, which is built during the pasta cooking step. This particular structure altered pasta springiness and increased cooking losses. Black-gram pasta, which is especially rich in soluble fibers, differed from faba and lentil pasta, with high springiness (0.85 vs. 0.75) and less loss during cooking. In comparison to a commercial cereal gluten-free pasta, all the legume pasta lost less material during cooking but was less cohesive and springy. Interestingly, due to their particular composition and structure, lentil and faba pasta released their starch more slowly than the commercial gluten-free pasta during the in-vitro digestion process. Anti-nutritional factors in legumes, such as trypsin inhibitory activity and α-galactosides were reduced by up to 82% and 73%, respectively, by pasta processing and cooking. However, these processing steps had a minor effect on phytic acid. This study demonstrates the advantages of using legumes for the production of gluten-free pasta with a low glycemic index and high nutritional quality.
27603917	0	10	Structural	T116	C1510464
27603917	512	516	faba	T168	C0004896
27603917	518	524	lentil	T168	C0023323
27603917	528	538	black-gram	T168	C0453212
27603917	539	545	flours	T168	C0016260
27603917	578	587	structure	T082	C0678594
27603917	595	602	cooking	T056	C0335326
27603917	607	629	Rheological properties	T080	C0871161
27603917	640	648	in-vitro	T080	C1533691
27603917	649	655	starch	T109,T121,T123	C0038179
27603917	656	665	digestion	T040	C0012238
27603917	670	678	analyzed	T062	C0936012
27603917	695	701	cereal	T168	C0007757
27603917	702	713	gluten-free	T058	C0344351
27603917	714	724	commercial	T170	C0680536
27603917	725	730	pasta	T168	C0452694
27603917	732	739	Trypsin	T116,T121,T126	C0041236
27603917	740	759	inhibitory activity	T039	C1524081
27603917	761	772	phytic acid	T109,T121,T123,T130	C0031855
27603917	777	791	α-galactosides	T109	C0016956
27603917	811	817	flours	T168	C0016260
27603917	832	837	pasta	T168	C0452694
27603917	843	849	legume	T168	C0453184
27603917	850	855	pasta	T168	C0452694
27603917	861	865	rich	T080	C0699759
27603917	869	876	protein	T116,T123	C0033684
27603917	878	887	resistant	T169	C0332325
27603917	888	894	starch	T109,T121,T123	C0038179
27603917	899	905	fibers	T109,T121	C0225326
27603917	933	940	protein	T116,T123	C0033684
27603917	941	948	network	T169	C1882071
27603917	976	981	pasta	T168	C0452694
27603917	982	989	cooking	T056	C0335326
27603917	990	994	step	T077	C1261552
27603917	1012	1021	structure	T082	C0678594
27603917	1030	1035	pasta	T168	C0452694
27603917	1036	1047	springiness	T070	C0013764
27603917	1052	1061	increased	T169	C0442805
27603917	1062	1069	cooking	T056	C0335326
27603917	1078	1088	Black-gram	T168	C0453212
27603917	1089	1094	pasta	T168	C0452694
27603917	1116	1120	rich	T080	C0699759
27603917	1124	1131	soluble	T080	C1948047
27603917	1132	1138	fibers	T109,T121	C0225326
27603917	1154	1158	faba	T168	C0004896
27603917	1163	1169	lentil	T168	C0023323
27603917	1170	1175	pasta	T168	C0452694
27603917	1182	1186	high	T080	C0205250
27603917	1187	1198	springiness	T070	C0013764
27603917	1236	1243	cooking	T056	C0335326
27603917	1264	1274	commercial	T170	C0680536
27603917	1275	1281	cereal	T168	C0007757
27603917	1282	1299	gluten-free pasta	T168	C0460378
27603917	1309	1315	legume	T168	C0453184
27603917	1316	1321	pasta	T168	C0452694
27603917	1332	1340	material	T167	C0520510
27603917	1348	1355	cooking	T056	C0335326
27603917	1382	1389	springy	T070	C0013764
27603917	1446	1455	structure	T082	C0678594
27603917	1457	1463	lentil	T168	C0023323
27603917	1468	1472	faba	T168	C0004896
27603917	1473	1478	pasta	T168	C0452694
27603917	1494	1500	starch	T109,T121,T123	C0038179
27603917	1522	1532	commercial	T170	C0680536
27603917	1533	1550	gluten-free pasta	T168	C0460378
27603917	1562	1570	in-vitro	T080	C1533691
27603917	1571	1588	digestion process	T040	C0012238
27603917	1590	1606	Anti-nutritional	T033	C0243095
27603917	1607	1614	factors	T169	C1521761
27603917	1618	1625	legumes	T168	C0453184
27603917	1635	1642	trypsin	T116,T121,T126	C0041236
27603917	1643	1662	inhibitory activity	T039	C1524081
27603917	1667	1681	α-galactosides	T109	C0016956
27603917	1734	1739	pasta	T168	C0452694
27603917	1740	1750	processing	T057	C0016487
27603917	1755	1762	cooking	T056	C0335326
27603917	1790	1795	steps	T077	C1261552
27603917	1818	1829	phytic acid	T109,T121,T123,T130	C0031855
27603917	1859	1869	advantages	T081	C0086387
27603917	1879	1886	legumes	T168	C0453184
27603917	1895	1905	production	T057	C0033268
27603917	1909	1952	gluten-free pasta with a low glycemic index	T168	C0475638
27603917	1957	1961	high	T080	C0205250
27603917	1962	1973	nutritional	T080	C1521739
27603917	1974	1981	quality	T080	C0332306
