27350860|t|Comparison of alkaline phosphatase activity of MC3T3-E1 cells cultured on different Ti surfaces: modified sandblasted with large grit and acid-etched (MSLA), laser-treated, and laser and acid-treated Ti surfaces
27350860|a|In this study, the aim of this study was to evaluate the effect of implant surface treatment on cell differentiation of osteoblast cells. For this purpose, three surfaces were compared: (1) a modified SLA (MSLA: sand-blasted with large grit, acid-etched, and immersed in 0.9% NaCl), (2) a laser treatment (LT: laser treatment) titanium surface and (3) a laser and acid-treated (LAT: laser treatment, acid-etched) titanium surface. The MSLA surfaces were considered as the control group, and LT and LAT surfaces as test groups. Alkaline phosphatase expression (ALP) was used to quantify osteoblastic differentiation of MC3T3-E1 cell. Surface roughness was evaluated by a contact profilometer (URFPAK-SV; Mitutoyo, Kawasaki, Japan) and characterized by two parameters: mean roughness (Ra) and maximum peak-to-valley height (Rt). Scanning electron microscope revealed that MSLA (control group) surface was not as rough as LT, LAT surface (test groups). Alkaline phosphatase expression, the measure of osteoblastic differentiation, and total ALP expression by surface-adherent cells were found to be highest at 21 days for all three surfaces tested (P<.05). Furthermore, ALP expression levels of MSLA and LAT surfaces were significantly higher than expression levels of LT surface-adherent cells at 7, 14, and 21 days, respectively (P<.05). However, ALP expression levels between MSLA and LAT surface were equal at 7, 14, and 21 days (P>.05). This study suggested that MSLA and LAT surfaces exhibited more favorable environment for osteoblast differentiation when compared with LT surface, the results that are important for implant surface modification studies.
27350860	0	10	Comparison	T052	C1707455
27350860	935	940	Japan	T083	C0022341
27350860	979	993	mean roughness	T080	C0205556
27350860	995	997	Ra	T080	C0205556
27350860	1003	1032	maximum peak-to-valley height	T081	C0392762
27350860	1034	1036	Rt	T081	C0392762
27350860	1039	1067	Scanning electron microscope	T074	C0262878
27350860	1088	1101	control group	T096	C0009932
27350860	1103	1110	surface	T082	C0205148
27350860	1122	1127	rough	T080	C0205556
27350860	1131	1133	LT	T196	C0040302
27350860	1135	1138	LAT	T196	C0040302
27350860	1139	1146	surface	T082	C0205148
27350860	1148	1159	test groups	T078	C0441833
27350860	1162	1182	Alkaline phosphatase	T116,T126	C0002059
27350860	1183	1193	expression	T045	C1171362
27350860	1210	1238	osteoblastic differentiation	T043	C1159974
27350860	1250	1253	ALP	T116,T126	C0002059
27350860	1254	1264	expression	T045	C1171362
27350860	1268	1290	surface-adherent cells	T025	C0007634
27350860	1322	1326	days	T079	C0439228
27350860	1341	1349	surfaces	T082	C0205148
27350860	1379	1382	ALP	T116,T126	C0002059
27350860	1383	1393	expression	T045	C1171362
27350860	1394	1400	levels	T080	C0441889
27350860	1404	1408	MSLA	T196	C0040302
27350860	1413	1416	LAT	T196	C0040302
27350860	1417	1425	surfaces	T082	C0205148
27350860	1457	1467	expression	T045	C1171362
27350860	1468	1474	levels	T080	C0441889
27350860	1478	1480	LT	T196	C0040302
27350860	1481	1503	surface-adherent cells	T025	C0007634
27350860	1521	1525	days	T079	C0439228
27350860	1558	1561	ALP	T116,T126	C0002059
27350860	1562	1572	expression	T045	C1171362
27350860	1573	1579	levels	T080	C0441889
27350860	1588	1592	MSLA	T196	C0040302
27350860	1597	1600	LAT	T196	C0040302
27350860	1601	1608	surface	T082	C0205148
27350860	1637	1641	days	T079	C0439228
27350860	1656	1661	study	T062	C2603343
27350860	1677	1681	MSLA	T196	C0040302
27350860	1686	1689	LAT	T196	C0040302
27350860	1690	1698	surfaces	T082	C0205148
27350860	1714	1723	favorable	T080	C3640814
27350860	1724	1735	environment	T082	C0014406
27350860	1740	1766	osteoblast differentiation	T043	C1159974
27350860	1786	1788	LT	T196	C0040302
27350860	1789	1796	surface	T082	C0205148
27350860	1833	1840	implant	T074	C0021102
27350860	1841	1848	surface	T082	C0205148
27350860	1849	1861	modification	T169	C0392747
27350860	1862	1869	studies	T062	C2603343
