27279849|t|Clinical evaluation of the AutoPulse automated chest compression device for out-of-hospital cardiac arrest in the northern district of Shanghai, China
27279849|a|Whether the AutoPulse automated chest compression device is worthy of clinical use for out-of-hospital cardiac arrest (OHCA) remains controversial. A prospective controlled study was conducted to evaluate the effect of AutoPulse versus manual chest compression for cardiopulmonary resuscitation (CPR) of OHCA patients in the northern district of Shanghai, China. A total of 133 patients with OHCA who were treated at the Emergency Medical Center of the Tenth People's Hospital Affiliated with Tongji University between March 2011 and March 2012 were included. The patients were randomly assigned to the Manual CPR (n = 64) and AutoPulse CPR groups (n = 69) in accordance with the approach of chest compression received. The primary outcome measure was return of spontaneous circulation (ROSC), and the secondary outcome measures included 24-h survival rate, hospital discharge rate, and neurological prognosis at hospital discharge. The ROSC rate of patients with OHCA was significantly higher in the AutoPulse CPR group than in the Manual CPR group (44.9% vs. 23.4%; p = 0.009). The 24-h survival rate of OHCA patients was significantly higher in the AutoPulse CPR group than in the Manual CPR group (39.1% vs. 21.9%; p = 0.03). The hospital discharge rate of the patients with OHCA was significantly higher in the AutoPulse CPR group than in the Manual CPR group (18.8% vs. 6.3%; p = 0.03). The proportion of patients with OHCA and a cerebral performance category score of 1 or 2 points at hospital discharge was higher in the AutoPulse CPR group than in the Manual CPR group, but the difference was not statistically significant (16.2% vs. 13.4%, p = 1.00). Use of the AutoPulse increases CPR success and survival rates in patients with OHCA, but its ability to improve cerebral performance requires further evaluation.
27279849	0	19	Clinical evaluation	T058	C4084924
27279849	808	826	in accordance with	T169	C4281991
27279849	843	848	chest	T029	C0817096
27279849	849	860	compression	T061	C0565514
27279849	861	869	received	T080	C1514756
27279849	875	882	primary	T080	C0205225
27279849	883	898	outcome measure	T081	C0086749
27279849	903	936	return of spontaneous circulation	T033	C3258122
27279849	938	942	ROSC	T033	C3258122
27279849	953	962	secondary	T081	C0205436
27279849	963	979	outcome measures	T081	C0086749
27279849	994	1007	survival rate	T081	C0038954
27279849	1009	1032	hospital discharge rate	T081	C0598611
27279849	1038	1050	neurological	T080	C0205494
27279849	1051	1060	prognosis	T058	C0033325
27279849	1064	1082	hospital discharge	T058	C0586003
27279849	1088	1092	ROSC	T033	C3258122
27279849	1093	1097	rate	T081	C1521828
27279849	1101	1109	patients	T101	C0030705
27279849	1115	1119	OHCA	T046	C2936490
27279849	1124	1144	significantly higher	T081	C4055637
27279849	1152	1161	AutoPulse	T074	C0183001
27279849	1162	1165	CPR	T061	C0007203
27279849	1166	1171	group	T078	C0441833
27279849	1184	1190	Manual	T169	C0175674
27279849	1191	1194	CPR	T061	C0007203
27279849	1195	1200	group	T078	C0441833
27279849	1240	1253	survival rate	T081	C0038954
27279849	1257	1261	OHCA	T046	C2936490
27279849	1262	1270	patients	T101	C0030705
27279849	1275	1295	significantly higher	T081	C4055637
27279849	1303	1312	AutoPulse	T074	C0183001
27279849	1313	1316	CPR	T061	C0007203
27279849	1317	1322	group	T078	C0441833
27279849	1335	1341	Manual	T169	C0175674
27279849	1342	1345	CPR	T061	C0007203
27279849	1346	1351	group	T078	C0441833
27279849	1385	1408	hospital discharge rate	T081	C0598611
27279849	1416	1424	patients	T101	C0030705
27279849	1430	1434	OHCA	T046	C2936490
27279849	1439	1459	significantly higher	T081	C4055637
27279849	1467	1476	AutoPulse	T074	C0183001
27279849	1477	1480	CPR	T061	C0007203
27279849	1481	1486	group	T078	C0441833
27279849	1499	1505	Manual	T169	C0175674
27279849	1506	1509	CPR	T061	C0007203
27279849	1510	1515	group	T078	C0441833
27279849	1548	1558	proportion	T081	C1709707
27279849	1562	1570	patients	T101	C0030705
27279849	1576	1580	OHCA	T046	C2936490
27279849	1587	1622	cerebral performance category score	T081	C0449820
27279849	1643	1661	hospital discharge	T058	C0586003
27279849	1666	1672	higher	T080	C0205250
27279849	1680	1689	AutoPulse	T074	C0183001
27279849	1690	1693	CPR	T061	C0007203
27279849	1694	1699	group	T078	C0441833
27279849	1712	1718	Manual	T169	C0175674
27279849	1719	1722	CPR	T061	C0007203
27279849	1723	1728	group	T078	C0441833
27279849	1738	1748	difference	T081	C1705241
27279849	1753	1756	not	T169	C1518422
27279849	1757	1782	statistically significant	T081	C0237881
27279849	1812	1815	Use	T169	C0457083
27279849	1823	1832	AutoPulse	T074	C0183001
27279849	1833	1842	increases	T081	C0205217
27279849	1843	1846	CPR	T061	C0007203
27279849	1847	1854	success	T081	C0392762
27279849	1859	1873	survival rates	T081	C0038954
27279849	1877	1885	patients	T101	C0030705
27279849	1891	1895	OHCA	T046	C2936490
27279849	1916	1923	improve	T033	C0184511
27279849	1924	1932	cerebral	T023	C0006104
27279849	1933	1944	performance	T052	C1882330
27279849	1962	1972	evaluation	T058	C0220825
