28130086|t|The opioid antagonist, β-funaltrexamine, inhibits lipopolysaccharide -induced neuroinflammation and reduces sickness behavior in mice
28130086|a|Brain pathologies such as neurodegenerative diseases, infection, traumatic brain injury, and mood disorders produce enormous personal and economic burdens. It is well established that neuroinflammation plays an important role in the etiology and/or manifestation of such disorders. Previously, we discovered that beta-funaltrexamine (β-FNA) inhibits inflammatory signaling in human astrocytes in vitro, resulting in reduced expression of proinflammatory cytokines / chemokines. The present study examines the effects of peripherally administered β-FNA on lipopolysaccharide (LPS)-induced neuroinflammation and sickness behavior in vivo. Adult male C57BL/6J mice were administered β-FNA and were then immediately administered bacterial lipopolysaccharide (LPS). At 24h post-injections, sickness behavior was assessed in an open-field test. Following behavioral analysis plasma and brains were collected. Levels of interleukin-6 (IL-6), interferon-γ inducible protein-10 (CXCL10), and monocyte chemoattractant protein-1 (CCL2) were determined by enzyme-linked immunosorbant assay (ELISA). At 24h post- LPS injection, IL-6, CCL2 and CXCL10 were increased in the plasma, whereas, only CCL2 and CXCL10 were elevated in the brain. β-FNA significantly inhibited LPS -induced CXCL10 and CCL2 expression in brain, but minimally or not at all in the plasma. LPS -induced sickness behavior, as indicated by a reduction in distance moved, was prevented by β-FNA. Overall, CXCL10 expression in the brain was most positively and significantly correlated with sickness behavior; whereas, anxiety -like behavior was most positively and significantly correlated with IL-6 and CCL2 levels in the plasma and levels of CXCL10 and CCL2 in the brain. The reduction in sickness behavior may be in part due to decreased chemokine expression in the brain; further examination of the anti-inflammatory and neuroprotective effects of β-FNA is warranted.
28130086	4	21	opioid antagonist	T121	C0027410
28130086	1047	1060	interleukin-6	T116,T129	C0021760
28130086	1062	1066	IL-6	T116,T129	C0021760
28130086	1069	1102	interferon-γ inducible protein-10	T116,T123	C1313708
28130086	1104	1110	CXCL10	T116,T123	C1313708
28130086	1117	1151	monocyte chemoattractant protein-1	T116,T129	C1452296
28130086	1153	1157	CCL2	T116,T129	C1452296
28130086	1178	1211	enzyme-linked immunosorbant assay	T059	C0014441
28130086	1213	1218	ELISA	T059	C0014441
28130086	1234	1237	LPS	T109	C0023810
28130086	1249	1253	IL-6	T116,T129	C0021760
28130086	1255	1259	CCL2	T116,T129	C1452296
28130086	1264	1270	CXCL10	T116,T123	C1313708
28130086	1293	1299	plasma	T031	C0032105
28130086	1315	1319	CCL2	T116,T129	C1452296
28130086	1324	1330	CXCL10	T116,T123	C1313708
28130086	1352	1357	brain	T023	C0006104
28130086	1359	1364	β-FNA	T109,T121	C0053433
28130086	1389	1392	LPS	T109	C0023810
28130086	1402	1408	CXCL10	T116,T123	C1313708
28130086	1413	1417	CCL2	T116,T129	C1452296
28130086	1418	1428	expression	T045	C1171362
28130086	1432	1437	brain	T023	C0006104
28130086	1474	1480	plasma	T031	C0032105
28130086	1482	1485	LPS	T109	C0023810
28130086	1495	1512	sickness behavior	T053	C2350572
28130086	1545	1553	distance	T081	C0012751
28130086	1554	1559	moved	T040	C0560560
28130086	1578	1583	β-FNA	T109,T121	C0053433
28130086	1594	1600	CXCL10	T116,T123	C1313708
28130086	1601	1611	expression	T045	C1171362
28130086	1619	1624	brain	T023	C0006104
28130086	1679	1696	sickness behavior	T053	C2350572
28130086	1707	1714	anxiety	T033	C0003467
28130086	1721	1729	behavior	T053	C0004927
28130086	1784	1788	IL-6	T116,T129	C0021760
28130086	1793	1797	CCL2	T116,T129	C1452296
28130086	1812	1818	plasma	T031	C0032105
28130086	1833	1839	CXCL10	T116,T123	C1313708
28130086	1844	1848	CCL2	T116,T129	C1452296
28130086	1856	1861	brain	T023	C0006104
28130086	1880	1897	sickness behavior	T053	C2350572
28130086	1930	1939	chemokine	T116,T129	C0282554
28130086	1940	1950	expression	T045	C1171362
28130086	1958	1963	brain	T023	C0006104
28130086	1992	2009	anti-inflammatory	T080	C1515999
28130086	2014	2037	neuroprotective effects	T169	C0815279
28130086	2041	2046	β-FNA	T109,T121	C0053433
