27714730|t|Anatomic assessment of the left main bifurcation and dynamic bifurcation angles using computed tomography angiography
27714730|a|An understanding of the left main coronary artery (LMCA) anatomy is important for accurate diagnosis and therapeutic. We aimed to investigate LMCA anatomy via 128-multisliced coronary computed-tomography-angiography (CCTA) in patients with normal LMCA. A total of 201 CCTA studies were included in this study. Anatomical features of LMCA including cross-sectional areas of the LMCA ostial, LMCA distal, LAD ostial and LCX ostial, and degree of tapering and LMCA bifurcation angles (BA) in the form of LMCA - LCX BA, LMCA - LAD BA, LAD - LCX BA at end-diastole and end-systole. The mean age was 55 ± 11 with 55.7% males. RCA was dominant in 173 (86.1%) patients. Mean LMCA length was 10.0±4.5 mm. The mean values of LMCA ostial, LMCA distal, LAD ostial and LCX ostial areas were 18.2±5.1 mm², 13.2±4.0, 9.0±3.2 mm² and 7.6±2.8 mm², respectively. LMCA ostial - distal area, LMCA distal - LAD ostial area and LMCA distal - LCX ostial area ratios were ≥1.44 - <1.69 in 47 (23.4%), 53 (26.4%), 47 (23.4%) patients, respectively, and were ≥1.69-<1.96 in 19 (9.5%), 24(11.9%), 40(19.9%) patients respectively. Systolic motion modifies LMCA BAs; systolic motion begets an increment of LMCA - LAD angle in 72.6% of patients and decrement of LAD - LCX angle in 75.6% of the patients. Patients with T-shaped LAD - LCX BA was shown to have significantly longer LMCA, larger LAD ostial area, larger LCX ostial area and higher diastolic-to-systolic range (DSR) of LAD - LCX BA compared to patients with Y-shaped LAD - LCX BA. LMCA with T-shaped distal BA was found to have significantly longer LMCA, larger LAD ostial area, larger LCX ostial area and higher DSR of distal BA compared to patients with Y-shaped distal BA. These findings may provide useful information for LMCA bifurcation stenting or designing dedicated stents for LMCA.
27714730	0	8	Anatomic	T080	C0220784
27714730	665	677	end-diastole	T079	C1562146
27714730	682	693	end-systole	T079	C1563001
27714730	704	707	age	T032	C0001779
27714730	731	736	males	T032	C0086582
27714730	738	741	RCA	T023	C0226042
27714730	746	754	dominant	T169	C1527180
27714730	770	778	patients	T101	C0030705
27714730	785	789	LMCA	T023	C1261082
27714730	790	796	length	T081	C1444754
27714730	833	837	LMCA	T023	C1261082
27714730	838	844	ostial	T030	C0444567
27714730	846	850	LMCA	T023	C1261082
27714730	851	857	distal	T082	C0205108
27714730	859	869	LAD ostial	T023	C3898617
27714730	874	877	LCX	T023	C0815994
27714730	878	884	ostial	T030	C0444567
27714730	885	890	areas	T082	C0205146
27714730	963	967	LMCA	T023	C1261082
27714730	968	974	ostial	T030	C0444567
27714730	977	983	distal	T082	C0205108
27714730	984	988	area	T082	C0205146
27714730	990	994	LMCA	T023	C1261082
27714730	995	1001	distal	T082	C0205108
27714730	1004	1014	LAD ostial	T023	C3898617
27714730	1015	1019	area	T082	C0205146
27714730	1024	1028	LMCA	T023	C1261082
27714730	1029	1035	distal	T082	C0205108
27714730	1038	1041	LCX	T023	C0815994
27714730	1042	1048	ostial	T030	C0444567
27714730	1049	1060	area ratios	T081	C1442066
27714730	1118	1126	patients	T101	C0030705
27714730	1198	1206	patients	T101	C0030705
27714730	1221	1236	Systolic motion	T070	C0026597
27714730	1246	1250	LMCA	T023	C1261082
27714730	1251	1254	BAs	T082	C1254362
27714730	1256	1271	systolic motion	T070	C0026597
27714730	1295	1299	LMCA	T023	C1261082
27714730	1302	1305	LAD	T023	C3898617
27714730	1324	1332	patients	T101	C0030705
27714730	1350	1353	LAD	T023	C3898617
27714730	1356	1359	LCX	T023	C0815994
27714730	1382	1390	patients	T101	C0030705
27714730	1392	1400	Patients	T101	C0030705
27714730	1415	1418	LAD	T023	C3898617
27714730	1421	1424	LCX	T023	C0815994
27714730	1425	1427	BA	T082	C1254362
27714730	1467	1471	LMCA	T023	C1261082
27714730	1480	1490	LAD ostial	T023	C3898617
27714730	1491	1495	area	T082	C0205146
27714730	1504	1507	LCX	T023	C0815994
27714730	1508	1514	ostial	T030	C0444567
27714730	1515	1519	area	T082	C0205146
27714730	1531	1558	diastolic-to-systolic range	T081	C1514721
27714730	1560	1563	DSR	T081	C1514721
27714730	1568	1571	LAD	T023	C3898617
27714730	1574	1577	LCX	T023	C0815994
27714730	1578	1580	BA	T082	C1254362
27714730	1593	1601	patients	T101	C0030705
27714730	1616	1619	LAD	T023	C3898617
27714730	1622	1625	LCX	T023	C0815994
27714730	1626	1628	BA	T082	C1254362
27714730	1630	1634	LMCA	T023	C1261082
27714730	1640	1655	T-shaped distal	T082	C0205108
27714730	1656	1658	BA	T082	C1254362
27714730	1698	1702	LMCA	T023	C1261082
27714730	1711	1721	LAD ostial	T023	C3898617
27714730	1722	1726	area	T082	C0205146
27714730	1735	1738	LCX	T023	C0815994
27714730	1739	1745	ostial	T030	C0444567
27714730	1746	1750	area	T082	C0205146
27714730	1762	1765	DSR	T081	C1514721
27714730	1769	1775	distal	T082	C0205108
27714730	1776	1778	BA	T082	C1254362
27714730	1791	1799	patients	T101	C0030705
27714730	1805	1820	Y-shaped distal	T082	C0205108
27714730	1821	1823	BA	T082	C1254362
27714730	1831	1839	findings	T033	C0243095
27714730	1875	1879	LMCA	T023	C1261082
27714730	1880	1900	bifurcation stenting	T061	C2348535
27714730	1924	1930	stents	T074	C0038257
27714730	1935	1939	LMCA	T023	C1261082
