27358636|t|Diagnostic value of diffusion weighted MRI and ADC in differential diagnosis of cavernous hemangioma of the liver
27358636|a|To investigate the use of diffusion weighted magnetic resonance imaging (DWI) and the apparent diffusion coefficient (ADC) values in the diagnosis of hemangioma. The study population consisted of 72 patients with liver masses larger than 1 cm (72 focal lesions). DWI examination with a b value of 600 s/mm2 was carried out for all patients. After DWI examination, an ADC map was created and ADC values were measured for 72 liver masses and normal liver tissue (control group). The average ADC values of normal liver tissue and focal liver lesions, the " cut-off " ADC values, and the diagnostic sensitivity and specificity of the ADC map in diagnosing hemangioma, benign and malignant lesions were researched. Of the 72 liver masses, 51 were benign and 21 were malignant. Benign lesions comprised 38 hemangiomas and 13 simple cysts. Malignant lesions comprised 9 hepatocellular carcinomas, and 12 metastases. The highest ADC values were measured for cysts (3.782±0.53×10(-3) mm(2)/s) and hemangiomas (2.705±0.63×10(-3) mm(2)/s). The average ADC value of hemangiomas was significantly higher than malignant lesions and the normal control group (p<0.001). The average ADC value of cysts were significantly higher when compared to hemangiomas and normal control group (p<0.001). To distinguish hemangiomas from malignant liver lesions, the " cut-off " ADC value of 1.800×10(-3) mm(2)/s had a sensitivity of 97.4% and a specificity of 90.9%. To distinguish hemangioma from normal liver parenchyma the " cut-off" value of 1.858×10(-3) mm(2)/s had a sensitivity of 97.4% and a specificity of 95.7%. To distinguish benign liver lesions from malignant liver lesions the " cut-off" value of 1.800×10(-3) mm(2)/s had a sensitivity of 96.1% and a specificity of 90.0%. DWI and quantitative measurement of ADC values can be used in differential diagnosis of benign and malignant liver lesions and also in the diagnosis and differentiation of hemangiomas. When dynamic examination cannot distinguish cases with vascular metastasis and lesions from hemangioma, DWI and ADC values can be useful in the primary diagnosis and differential diagnosis. The technique does not require contrast material, so it can safely be used in patients with renal failure.
27358636	0	16	Diagnostic value	T169	C0348026
27358636	914	925	hemangiomas	T191	C0018916
27358636	933	945	simple cysts	T190	C0037157
27358636	947	956	Malignant	T080	C0205282
27358636	957	964	lesions	T033	C0221198
27358636	977	1002	hepatocellular carcinomas	T191	C2239176
27358636	1011	1021	metastases	T191	C0027627
27358636	1035	1038	ADC	T077	C3890194
27358636	1039	1045	values	T081	C1522609
27358636	1064	1069	cysts	T047	C0010709
27358636	1102	1113	hemangiomas	T191	C0018916
27358636	1147	1154	average	T081	C1510992
27358636	1155	1158	ADC	T077	C3890194
27358636	1159	1164	value	T081	C1522609
27358636	1168	1179	hemangiomas	T191	C0018916
27358636	1184	1204	significantly higher	T081	C4055637
27358636	1210	1219	malignant	T080	C0205282
27358636	1220	1227	lesions	T033	C0221198
27358636	1236	1256	normal control group	T096	C0009932
27358636	1272	1279	average	T081	C1510992
27358636	1280	1283	ADC	T077	C3890194
27358636	1284	1289	value	T081	C1522609
27358636	1293	1298	cysts	T047	C0010709
27358636	1304	1324	significantly higher	T081	C4055637
27358636	1342	1353	hemangiomas	T191	C0018916
27358636	1358	1378	normal control group	T096	C0009932
27358636	1405	1416	hemangiomas	T191	C0018916
27358636	1422	1431	malignant	T080	C0205282
27358636	1432	1445	liver lesions	T033	C0577053
27358636	1453	1460	cut-off	T081	C1522609
27358636	1463	1466	ADC	T077	C3890194
27358636	1467	1472	value	T081	C1522609
27358636	1503	1514	sensitivity	T081	C1511883
27358636	1530	1541	specificity	T081	C1511884
27358636	1567	1577	hemangioma	T191	C0018916
27358636	1583	1589	normal	T080	C0205307
27358636	1590	1606	liver parenchyma	T023	C0736268
27358636	1613	1627	cut-off" value	T081	C1522609
27358636	1658	1669	sensitivity	T081	C1511883
27358636	1685	1696	specificity	T081	C1511884
27358636	1722	1728	benign	T080	C0205183
27358636	1729	1742	liver lesions	T033	C0577053
27358636	1748	1757	malignant	T080	C0205282
27358636	1758	1771	liver lesions	T033	C0577053
27358636	1778	1792	cut-off" value	T081	C1522609
27358636	1823	1834	sensitivity	T081	C1511883
27358636	1850	1861	specificity	T081	C1511884
27358636	1872	1875	DWI	T060	C0598801
27358636	1880	1904	quantitative measurement	T081	C0034384
27358636	1908	1911	ADC	T077	C3890194
27358636	1912	1918	values	T081	C1522609
27358636	1934	1956	differential diagnosis	T060	C0011906
27358636	1960	1966	benign	T080	C0205183
27358636	1971	1980	malignant	T080	C0205282
27358636	1981	1994	liver lesions	T033	C0577053
27358636	2011	2020	diagnosis	T062	C1704656
27358636	2025	2040	differentiation	T169	C2945687
27358636	2044	2055	hemangiomas	T191	C0018916
27358636	2062	2081	dynamic examination	T058	C0582103
27358636	2101	2106	cases	T077	C1706256
27358636	2112	2131	vascular metastasis	T191	C0027627
27358636	2136	2143	lesions	T033	C0221198
27358636	2149	2159	hemangioma	T191	C0018916
27358636	2161	2164	DWI	T060	C0598801
27358636	2169	2172	ADC	T077	C3890194
27358636	2173	2179	values	T081	C1522609
27358636	2201	2218	primary diagnosis	T080	C0332137
27358636	2223	2245	differential diagnosis	T060	C0011906
27358636	2251	2260	technique	T169	C0449851
27358636	2278	2295	contrast material	T130	C0009924
27358636	2325	2333	patients	T101	C0030705
27358636	2339	2352	renal failure	T047	C0035078
