28294559|t|The platelet-activating receptor C-type lectin receptor-2 plays an essential role in liver regeneration after partial hepatectomy in mice
28294559|a|Essentials Regeneration role of C-type lectin receptor-2 (CLEC-2) after 70% hepatectomy (HPx) was investigated. Wild-type or CLEC-2 deleted from platelets of chimeric mice (flKO) underwent HPx. The liver/body weight ratio was significantly lower in the flKO than in the wild-type. CLEC-2 plays an essential role in liver regeneration after HPx. Background and aim The aim of the present study was to investigate the role of C-type lectin receptor (CLEC)-2 in liver regeneration following partial liver resection in mice. Materials and methods Irradiated chimeric mice transplanted with fetal liver cells from wild-type (WT) mice, CLEC-2 - deleted (KO) mice or mice with CLEC-2 deleted specifically from platelets (flKO) were generated. Mice underwent 70% partial hepatectomy (PH). Immunohistochemical staining was performed to investigate the expression of the endogenous ligand for CLEC-2, podoplanin. The accumulation of platelets in the liver was also quantified. The hepatic expression of the IL-6 / gp130 and STAT3, Akt and ERK1/2 was also examined. Results The liver/body weight ratio and expression of all cell proliferation markers were significantly lower in the flKO group than in the WT group. The expression of phosphorylated (p) Akt and pERK1 /2 was similar in the WT and flKO groups. On the other hand, the expression of pSTAT3 and IL-6 was significantly stronger in the WT group than in the flKO group. The expression of podoplanin was detected in the hepatic sinusoids of both groups. However, the extent to which platelets accumulated in hepatic sinusoids was significantly less in the flKO group than in the WT group. Conclusion CLEC-2 was involved in hepatic regeneration after liver resection and CLEC-2 -related liver regeneration was attributed to the interaction between platelets and sinusoidal endothelial cells.
28294559	4	32	platelet-activating receptor	T116,T129,T192	C0071234
28294559	747	766	wild-type (WT) mice	T015	C1520150
28294559	768	774	CLEC-2	T028	C0017337
28294559	777	784	deleted	T045	C0017260
28294559	790	794	mice	T015	C0025929
28294559	798	802	mice	T015	C0025929
28294559	808	814	CLEC-2	T028	C0017337
28294559	815	822	deleted	T045	C0017260
28294559	841	850	platelets	T025	C0005821
28294559	863	872	generated	T052	C3146294
28294559	874	878	Mice	T015	C0025929
28294559	889	912	70% partial hepatectomy	T061	C0193398
28294559	914	916	PH	T061	C0193398
28294559	919	947	Immunohistochemical staining	T059	C0487602
28294559	981	991	expression	T045	C1171362
28294559	999	1009	endogenous	T169	C0205227
28294559	1010	1016	ligand	T103	C0023688
28294559	1021	1027	CLEC-2	T116,T123	C2354438
28294559	1029	1039	podoplanin	T116	C3537357
28294559	1045	1057	accumulation	T043	C0007613
28294559	1061	1070	platelets	T025	C0005821
28294559	1078	1083	liver	T023	C0023884
28294559	1093	1103	quantified	T081	C1709793
28294559	1109	1116	hepatic	T029	C0205054
28294559	1117	1127	expression	T045	C1171362
28294559	1135	1139	IL-6	T116,T129	C0021760
28294559	1142	1147	gp130	T116,T123	C0017968
28294559	1152	1157	STAT3	T116,T123	C0253050
28294559	1159	1162	Akt	T116,T126	C0164786
28294559	1167	1173	ERK1/2	T116,T126	C0600388
28294559	1205	1228	liver/body weight ratio	T081	C2983636
28294559	1233	1243	expression	T045	C1171362
28294559	1251	1269	cell proliferation	T043	C0596290
28294559	1270	1277	markers	T059	C1611701
28294559	1310	1320	flKO group	T015	C0025929
28294559	1333	1341	WT group	T015	C1520150
28294559	1347	1357	expression	T045	C1171362
28294559	1361	1383	phosphorylated (p) Akt	T116,T126	C0164786
28294559	1388	1393	pERK1	T116,T126	C0600388
28294559	1416	1418	WT	T015	C1520150
28294559	1423	1434	flKO groups	T015	C0025929
28294559	1459	1469	expression	T045	C1171362
28294559	1473	1479	pSTAT3	T116,T123	C0253050
28294559	1484	1488	IL-6	T116,T129	C0021760
28294559	1523	1531	WT group	T015	C1520150
28294559	1544	1554	flKO group	T015	C0025929
28294559	1560	1570	expression	T045	C1171362
28294559	1574	1584	podoplanin	T116	C3537357
28294559	1605	1622	hepatic sinusoids	T023	C0227523
28294559	1631	1637	groups	T078	C0441833
28294559	1668	1677	platelets	T025	C0005821
28294559	1693	1710	hepatic sinusoids	T023	C0227523
28294559	1741	1751	flKO group	T015	C0025929
28294559	1764	1772	WT group	T015	C1520150
28294559	1785	1791	CLEC-2	T116,T123	C2354438
28294559	1808	1828	hepatic regeneration	T042	C0023907
28294559	1835	1850	liver resection	T061	C0019144
28294559	1855	1861	CLEC-2	T116,T123	C2354438
28294559	1871	1889	liver regeneration	T042	C0023907
28294559	1932	1941	platelets	T025	C0005821
28294559	1946	1956	sinusoidal	T030	C0682624
28294559	1957	1974	endothelial cells	T025	C0225336
