27613669|t|Factors affecting the formation of nitrogenous disinfection by-products during chlorination of aspartic acid in drinking water
27613669|a|The formation of emerging nitrogenous disinfection by-products (N-DBPs) from the chlorination of aspartic acid (Asp) was investigated. The yield of dichloroacetonitrile (DCAN) was higher than other N-DBPs, such as dichloroacetamide (DCAcAm) and chloropicrin (TCNM) during the chlorination of Asp. The formation of DCAN, DCAcAm, and TCNM all showed a trend of first increasing and then decreasing during the chlorination of Asp with increasing contact time. The dosage of chlorine had an impact on the formation of DCAN, DCAcAm, and TCNM. The highest yields of DCAN and DCAcAm appeared when the Cl2 / Asp molar ratio was about 20, the yield of TCNM increased with increasing the Cl2 / Asp molar ratio from 5 to 30 and TCNM was not produced when the ratio was less than 5. Cyanogen chloride (CNCl) was detected when the Cl2 / Asp molar ratio was lower than 5. N-DBPs formation was influenced by pH. DCAN formation increased with increasing pH from 5 to 6 and then decreased with increasing pH from 6 to 9, but DCAcAm and TCNM increased with increasing pH from 5 to 8 and then decreased. Higher temperatures reduced the formation of DCAN and DCAcAm, but increased TCNM formation. DCAN and DCAcAm formation decreased, and relatively stable TCNM formation increased, with increasing free chlorine contact time during chloramination. N-nitrosodimethylamine (NDMA) was produced during chloramination of Asp and increased with prolonged chloramination contact time. The presence of bromide ions enhanced the yields of haloacetonitriles and shifted N-DBPs to more brominated species.
27613669	0	7	Factors	T169	C1521761
27613669	534	546	chlorination	T057	C2728946
27613669	550	553	Asp	T116,T123	C0004015
27613669	559	569	increasing	T169	C0442808
27613669	570	582	contact time	T079	C1254367
27613669	588	594	dosage	T081	C0178602
27613669	598	606	chlorine	T131,T196	C0008209
27613669	628	637	formation	T169	C1522492
27613669	641	645	DCAN	T109	C0057843
27613669	647	653	DCAcAm	T109,T130	C0045293
27613669	659	663	TCNM	T109,T121	C0055437
27613669	677	683	yields	T081	C0392762
27613669	687	691	DCAN	T109	C0057843
27613669	696	702	DCAcAm	T109,T130	C0045293
27613669	721	724	Cl2	T131,T196	C0008209
27613669	727	730	Asp	T116,T123	C0004015
27613669	731	742	molar ratio	T081	C2825550
27613669	761	766	yield	T081	C0392762
27613669	770	774	TCNM	T109,T121	C0055437
27613669	775	784	increased	T081	C0205217
27613669	790	800	increasing	T169	C0442808
27613669	805	808	Cl2	T131,T196	C0008209
27613669	811	814	Asp	T116,T123	C0004015
27613669	815	826	molar ratio	T081	C2825550
27613669	844	848	TCNM	T109,T121	C0055437
27613669	875	880	ratio	T081	C2825550
27613669	898	915	Cyanogen chloride	T109,T131	C0056659
27613669	917	921	CNCl	T109,T131	C0056659
27613669	945	948	Cl2	T131,T196	C0008209
27613669	951	954	Asp	T116,T123	C0004015
27613669	955	966	molar ratio	T081	C2825550
27613669	985	991	N-DBPs	T104	C0684298
27613669	992	1001	formation	T169	C1522492
27613669	1020	1022	pH	T081	C0020283
27613669	1024	1028	DCAN	T109	C0057843
27613669	1029	1038	formation	T169	C1522492
27613669	1039	1048	increased	T081	C0205217
27613669	1054	1064	increasing	T169	C0442808
27613669	1065	1067	pH	T081	C0020283
27613669	1089	1098	decreased	T081	C0205216
27613669	1104	1114	increasing	T169	C0442808
27613669	1115	1117	pH	T081	C0020283
27613669	1135	1141	DCAcAm	T109,T130	C0045293
27613669	1146	1150	TCNM	T109,T121	C0055437
27613669	1151	1160	increased	T081	C0205217
27613669	1166	1176	increasing	T169	C0442808
27613669	1177	1179	pH	T081	C0020283
27613669	1201	1210	decreased	T081	C0205216
27613669	1219	1231	temperatures	T081	C0039476
27613669	1232	1239	reduced	T080	C0392756
27613669	1244	1253	formation	T169	C1522492
27613669	1257	1261	DCAN	T109	C0057843
27613669	1266	1272	DCAcAm	T109,T130	C0045293
27613669	1278	1287	increased	T081	C0205217
27613669	1288	1292	TCNM	T109,T121	C0055437
27613669	1293	1302	formation	T169	C1522492
27613669	1304	1308	DCAN	T109	C0057843
27613669	1313	1319	DCAcAm	T109,T130	C0045293
27613669	1320	1329	formation	T169	C1522492
27613669	1330	1339	decreased	T081	C0205216
27613669	1356	1362	stable	T080	C0205360
27613669	1363	1367	TCNM	T109,T121	C0055437
27613669	1368	1377	formation	T169	C1522492
27613669	1378	1387	increased	T081	C0205217
27613669	1394	1404	increasing	T169	C0442808
27613669	1410	1418	chlorine	T131,T196	C0008209
27613669	1419	1431	contact time	T079	C1254367
27613669	1439	1453	chloramination	T067	C1254366
27613669	1455	1477	N-nitrosodimethylamine	T109,T131	C0012431
27613669	1479	1483	NDMA	T109,T131	C0012431
27613669	1505	1519	chloramination	T067	C1254366
27613669	1523	1526	Asp	T116,T123	C0004015
27613669	1531	1540	increased	T081	C0205217
27613669	1546	1555	prolonged	T079	C0439590
27613669	1556	1570	chloramination	T067	C1254366
27613669	1571	1583	contact time	T079	C1254367
27613669	1601	1613	bromide ions	T121,T196	C3848571
27613669	1614	1622	enhanced	T052	C2349975
27613669	1627	1633	yields	T081	C0392762
27613669	1637	1654	haloacetonitriles	T109	C0001004
27613669	1667	1673	N-DBPs	T104	C0684298
27613669	1682	1700	brominated species	T109	C0029224
