28070808|t|Combined positive effect of oocyte extracts and brilliant cresyl blue stained recipient cytoplasts on epigenetic reprogramming and gene expression in buffalo nuclear transfer embryos
28070808|a|This study examined the effects of buffalo oocyte extracts (BOE) on donor cells reprogramming and molecular characterisation of oocytes screened via brilliant cresyl blue (BCB) staining and comparison of gene expression profiles of developmentally important genes in blastocysts from IVF and cloned derived from BOE treated donor cells with BCB selected recipient cytoplasts. Relative abundance (RA) of OCT4 and NANOG was increased (P < 0.05) and HDAC-1, DNMT-1, and DNMT-3A decreased (P < 0.05) in extract treated cells (ETCs). This ETCs dedifferentiated into neuron -like lineage under appropriate induction condition. The RA of NASP, EEF1A1, DNMT1, ODC1 and RPS27A was increased (P < 0.05) in BCB + oocytes, whereas ATP5A1 and S100A10 increased (P < 0.05) in BCB - oocytes. Total cell number and RA of OCT4, NANOG, SOX2, DNMT1, IGF2, IGF2R, MNSOD, GLUT1, BAX and BCL2 in cloned blastocysts derived from BCB + oocytes with ETC more closely followed that of IVF counterparts compared to BCB + oocytes with extract untreated cell and BCB - oocytes with ETC derived blastocysts. In conclusion, BOE influenced epigenetic reprogramming of buffalo fibroblasts making them suitable donors for nuclear transfer (NT). BCB staining can be effectively used for selection of developmentally competent oocytes for NT. The combined effects of epigenetic reprogramming of donor nuclei by BOE and higher nuclear reprogramming capacity of BCB + oocytes improve developmentally important gene expression in cloned blastocysts. Whether these improvements have long-term effects on buffalo calves born following embryo transfer remains unknown.
28070808	9	27	positive effect of	T033	C0243095
28070808	945	948	BCB	T109,T130	C0054052
28070808	951	958	oocytes	T025	C0029045
28070808	960	977	Total cell number	T059	C0007584
28070808	982	984	RA	T080	C2346714
28070808	988	992	OCT4	T028	C1418768
28070808	994	999	NANOG	T028	C1427164
28070808	1001	1005	SOX2	T028	C1420322
28070808	1007	1012	DNMT1	T028	C1414121
28070808	1014	1018	IGF2	T028	C1334091
28070808	1020	1025	IGF2R	T028	C1334090
28070808	1027	1032	MNSOD	T028	C1420307
28070808	1034	1039	GLUT1	T028	C1335837
28070808	1041	1044	BAX	T028	C0812198
28070808	1049	1053	BCL2	T028	C0376515
28070808	1057	1063	cloned	T025	C0009013
28070808	1064	1075	blastocysts	T018	C1281743
28070808	1089	1092	BCB	T109,T130	C0054052
28070808	1095	1102	oocytes	T025	C0029045
28070808	1108	1111	ETC	T025	C0007634
28070808	1142	1145	IVF	T061	C0015915
28070808	1171	1174	BCB	T109,T130	C0054052
28070808	1177	1184	oocytes	T025	C0029045
28070808	1190	1212	extract untreated cell	T025	C0007634
28070808	1217	1220	BCB	T109,T130	C0054052
28070808	1223	1230	oocytes	T025	C0029045
28070808	1236	1239	ETC	T025	C0007634
28070808	1248	1259	blastocysts	T018	C1281743
28070808	1276	1279	BOE	T026	C0007592
28070808	1291	1315	epigenetic reprogramming	T062	C1721050
28070808	1319	1326	buffalo	T015	C0006352
28070808	1327	1338	fibroblasts	T025	C0016030
28070808	1371	1387	nuclear transfer	T043	C0872070
28070808	1389	1391	NT	T043	C0872070
28070808	1394	1406	BCB staining	T059	C1318930
28070808	1448	1463	developmentally	T080	C0458003
28070808	1474	1481	oocytes	T025	C0029045
28070808	1486	1488	NT	T043	C0872070
28070808	1503	1513	effects of	T080	C1704420
28070808	1514	1538	epigenetic reprogramming	T062	C1721050
28070808	1542	1554	donor nuclei	T026	C0007610
28070808	1558	1561	BOE	T026	C0007592
28070808	1573	1594	nuclear reprogramming	T062	C1721050
28070808	1607	1610	BCB	T109,T130	C0054052
28070808	1613	1620	oocytes	T025	C0029045
28070808	1629	1644	developmentally	T080	C0458003
28070808	1655	1670	gene expression	T045	C0017262
28070808	1674	1680	cloned	T025	C0009013
28070808	1681	1692	blastocysts	T018	C1281743
28070808	1708	1720	improvements	T057	C2936612
28070808	1726	1743	long-term effects	T067	C0023983
28070808	1747	1761	buffalo calves	T015	C3668829
28070808	1762	1766	born	T040	C0005615
28070808	1777	1792	embryo transfer	T061	C0013938
