27826671|t|A Feasibility Study of Telementoring for Identifying the Appendix Using Smartphone -Based Telesonography
27826671|a|We investigated the feasibility of the clinical application of novice - practitioner - performed / offsite - mentor -guided ultrasonography for identifying the appendix. A randomized crossover study was conducted using a telesonography system that can transmit the ultrasound images displayed on the ultrasound monitor (ultrasound sequence video) and images showing the practitioner's operations (background video) to a smartphone without any interruption in motion over a Long-Term Evolution (LTE) network. Thirty novice practitioners were randomly assigned to two groups. The subjects in group A (n = 15) performed ultrasonography for the identification of the appendix under mentoring by an onsite expert, whereas those in group B (n = 15) performed the same procedure under mentoring by an offsite expert. Each subject performed the procedure on three simulated patients. After a 4- week interval, they performed the procedure again under the other type of mentoring. A total of 90 ultrasound examinations were performed in each scenario. The primary outcomes were the success rate for identifying the appendix and the time required to identify the appendix. The success rates for identifying the appendix were 91.1 % (82/90) in onsite - mentored ultrasonography and 87.8 % (79/90) in offsite - mentored ultrasonography; both rates were high, and there was no significant difference (p = 0.468) between them. The time required in the case of offsite mentoring (median, 242.9 s; interquartile range (IQR), 238.2) was longer than that for onsite mentoring (median, 291.4 s; IQR, 200.9); however, the difference was not significant (p = 0.051). It appears that offsite mentoring can allow novice onsite practitioners to perform ultrasonography as effectively as they can under onsite mentoring, even for examinations that require proficiency in rather complex practices, such as identifying the appendix.
27826671	2	19	Feasibility Study	T062,T170	C0015730
27826671	1664	1670	median	T081	C0876920
27826671	1681	1684	IQR	T081	C1711350
27826671	1707	1717	difference	T081	C1705241
27826671	1722	1737	not significant	T033	C1273937
27826671	1767	1774	offsite	T082	C3828730
27826671	1775	1784	mentoring	T065	C4255266
27826671	1795	1801	novice	UnknownType	C0680250
27826671	1802	1808	onsite	T082	C0205145
27826671	1809	1822	practitioners	T097	C1709627
27826671	1834	1849	ultrasonography	T060	C0041618
27826671	1853	1864	effectively	T080	C1704419
27826671	1883	1889	onsite	T082	C0205145
27826671	1890	1899	mentoring	T065	C4255266
27826671	1910	1922	examinations	T058	C0582103
27826671	1936	1947	proficiency	T080	C0205556
27826671	1958	1965	complex	T080	C0439855
27826671	1966	1975	practices	T058	C1254363
27826671	1985	1996	identifying	T080	C0205396
27826671	2001	2009	appendix	T023	C0003617
