28196438|t|Patient Factors Associated With Higher Expectations From Foot and Ankle Surgery
28196438|a|Few authors have investigated patients' expectations from foot and ankle surgery. In this study, we aimed to examine relationships between patients' preoperative expectations and their demographic and clinical characteristics. We hypothesized that patients with more disability and those with anxiety or depressive symptoms would have greater expectations. All adult patients scheduled for elective foot or ankle surgery by 1 of 6 orthopaedic foot and ankle surgeons were screened for inclusion over 8 months. Preoperatively, all patients completed the Hospital for Special Surgery Foot & Ankle Surgery Expectations Survey in addition to the Foot & Ankle Outcome Score (FAOS), Short Form (SF)-12, Patient Health Questionnaire (PHQ)-8, Generalized Anxiety Disorder 7-item scale (GAD-7), and pain visual analog scale (VAS). The expectations survey contained 23 expectations categories, each with 5 answer choices ranging from "I do not have this expectation " to " complete improvement " expected. It was scored from 0 to 100, with higher scores indicating more expectations. Differences in expectations relating to numerous patient demographic and clinical variables were assessed. In total, 352 patients with an average age of 55 ± 15 (range, 18-86) years were enrolled. Expectations scores were not related to age (P = .36). On average, women expected to achieve complete improvement more often than men (P = .011). Variables that were significantly associated with higher expectations scores (P < .05) included nonwhite race, use of a cane or other assistive device, and greater medical comorbidity. Worse function and quality of life (as assessed by all FAOS subscales and the SF-12 physical and mental components), more depressive and anxiety symptoms, and higher pain VAS scores were associated with higher expectations scores and more expectations (P < .01 for all). The results of this study may help inform surgeons ' preoperative discussions with their patients regarding realistic expectations from surgery. Generally, patients with worse function and more disability had higher expectations from surgery. Addressing these patients' expectations preoperatively may help improve their ultimate satisfaction with surgery. Level II, cross sectional study.
28196438	0	15	Patient Factors	UnknownType	C0679854
28196438	777	805	Patient Health Questionnaire	T170	C1879301
28196438	807	810	PHQ	T170	C1879301
28196438	815	856	Generalized Anxiety Disorder 7-item scale	T170	C3874856
28196438	858	863	GAD-7	T170	C3874856
28196438	870	894	pain visual analog scale	T060	C0042815
28196438	896	899	VAS	T060	C0042815
28196438	906	918	expectations	T078	C0679138
28196438	919	925	survey	T170	C0038951
28196438	939	951	expectations	T078	C0679138
28196438	952	962	categories	T170	C0683312
28196438	1024	1035	expectation	T078	C0679138
28196438	1043	1063	complete improvement	T077	C2986411
28196438	1066	1074	expected	T078	C0679138
28196438	1083	1089	scored	T081	C0449820
28196438	1110	1116	higher	T080	C0205250
28196438	1117	1123	scores	T081	C0449820
28196438	1140	1152	expectations	T078	C0679138
28196438	1154	1165	Differences	T080	C1705242
28196438	1169	1181	expectations	T078	C0679138
28196438	1203	1210	patient	T101	C0030705
28196438	1211	1222	demographic	T102	C0683970
28196438	1227	1245	clinical variables	T201	C0683325
28196438	1251	1259	assessed	T052	C1516048
28196438	1275	1283	patients	T101	C0030705
28196438	1351	1363	Expectations	T078	C0679138
28196438	1364	1370	scores	T081	C0449820
28196438	1391	1394	age	T032	C0001779
28196438	1418	1423	women	T098	C0043210
28196438	1424	1432	expected	T078	C0679138
28196438	1444	1464	complete improvement	T077	C2986411
28196438	1481	1484	men	T098	C0025266
28196438	1531	1546	associated with	T080	C0332281
28196438	1547	1553	higher	T080	C0205250
28196438	1554	1566	expectations	T078	C0679138
28196438	1567	1573	scores	T081	C0449820
28196438	1593	1606	nonwhite race	T098	C0034510
28196438	1631	1647	assistive device	T074	C0036605
28196438	1653	1660	greater	T081	C1704243
28196438	1661	1668	medical	T169	C0205476
28196438	1669	1680	comorbidity	T078	C0009488
28196438	1682	1687	Worse	T033	C1457868
28196438	1688	1696	function	T039	C0031843
28196438	1701	1716	quality of life	T078	C0034380
28196438	1721	1729	assessed	T052	C1516048
28196438	1737	1741	FAOS	T081	C0449820
28196438	1760	1765	SF-12	T170	C0038951
28196438	1804	1814	depressive	T184	C0086132
28196438	1819	1835	anxiety symptoms	T033	C0860603
28196438	1841	1847	higher	T080	C0205250
28196438	1848	1863	pain VAS scores	T081	C2732809
28196438	1869	1884	associated with	T080	C0332281
28196438	1885	1891	higher	T080	C0205250
28196438	1892	1904	expectations	T078	C0679138
28196438	1905	1911	scores	T081	C0449820
28196438	1921	1933	expectations	T078	C0679138
28196438	1973	1978	study	T062	C2603343
28196438	1995	2003	surgeons	T097	C0582175
28196438	2006	2018	preoperative	T079	C0445204
28196438	2042	2050	patients	T101	C0030705
28196438	2071	2083	expectations	T078	C0679138
28196438	2089	2096	surgery	T061	C0543467
28196438	2109	2117	patients	T101	C0030705
28196438	2123	2128	worse	T033	C1457868
28196438	2129	2137	function	T039	C0031843
28196438	2147	2157	disability	T033	C0231170
28196438	2162	2168	higher	T080	C0205250
28196438	2169	2181	expectations	T078	C0679138
28196438	2187	2194	surgery	T061	C0543467
28196438	2213	2222	patients'	T101	C0030705
28196438	2223	2235	expectations	T078	C0679138
28196438	2236	2250	preoperatively	T079	C0445204
28196438	2260	2267	improve	T080	C1272747
28196438	2283	2295	satisfaction	T041	C0242428
28196438	2301	2308	surgery	T061	C0543467
28196438	2320	2341	cross sectional study	T062	C0010362
