,file,sentence,word_labels
16,101039c7nr05695h,Methylammonium iodide (MAI ) (99 .,"B,I,B,O,O,O"
17,101039c7nr05695h,98% ) was purchased from Dyesol .,"B,O,O,B,O,B,O"
18,101039c7nr05695h,"Poly ( triaryl amine ) (PTAA , Mn = 17500 g mol-1 ) was purchased from EM Index .","B,I,I,I,I,B,O,O,O,O,B,I,O,O,B,O,B,I,O"
19,101039c7nr05695h,The indium precursor solution was prepared by dissolving 0 .,"O,B,B,I,O,B,O,B,O,O"
20,101039c7nr05695h,1 M indium nitrate hydrate in anhydrous ethanol .,"O,B,B,I,I,O,B,B,O"
21,101039c7nr05695h,"The CH3NH3PbI3 precursor solution was prepared via the Lewis base adduct approach according to a previous report; 461 mg of PbI2 , 159 mg of MAI , and 78 mg of DMSO were mixed with 600 mg of DMF .","O,B,B,I,O,B,O,O,O,O,O,O,O,O,O,O,O,O,B,O,B,O,O,B,O,B,O,O,O,B,O,B,O,B,O,O,B,O,B,O"
22,101039c7nr05695h,"36 , 37 The P3HT/PCBM solution was prepared by dissolving 1 wt% P3HT and 1 wt% PCBM in 1 mL of CB at 60 degC for 30 min .","B,I,I,O,B,B,O,B,O,B,O,B,B,O,O,B,B,O,O,B,O,B,O,O,O,O,O,O,O"
23,101039c7nr05695h,A PTAA solution was prepared by dissolving 15 mg of PTAA in 1 mL of toluene .,"O,B,B,O,B,O,B,O,B,O,B,O,O,B,O,B,O"
24,101039c7nr05695h,"For Li-doping , 15 μL of Li-TFSi/ACN (170 mg of Li-TFSi in 1 mL of ACN ) and 15 μL of tBP/ACN (1:1 , v/v ) were added to the PTAA solution .","O,B,O,O,B,O,B,O,B,O,B,O,O,B,O,B,O,O,O,B,O,B,O,O,B,O,O,B,O,O,B,B,O"
25,101039c7nr05695h,The PEDOT:PSS solution was modified by mixing 1 wt% Triton X-100 .,"O,B,B,O,B,O,B,O,B,B,I,O"
26,101039c7nr05695h,All the solutions were prepared in a N2-filled glove box .,"O,O,B,O,B,O,O,B,B,I,O"
0,101016jjcis201501016,10 .,"O,O"
1,101016jjcis201501016,1016/j .,"O,O"
2,101016jjcis201501016,jcis .,"O,O"
3,101016jjcis201501016,2015 .,"O,O"
4,101016jjcis201501016,01 .,"O,O"
5,101016jjcis201501016,016 Carbon microspheres via microwave-assisted synthesis as counter electrodes of dye-sensitized solar cells CSs were prepared using the method reported in our previous works [36] .,"O,B,B,O,B,I,O,O,B,O,O,O,O,B,O,B,O,O,O,O,O,O,O,O,B,O"
6,101016jjcis201501016,"In briefly , 6 .","O,O,O,O,O"
7,101016jjcis201501016,846 g sucrose and 2 g concentrated sulfuric acid were dissolved in 100 ml mixing solvent of water and ethylene glycol (6:4 v/v ) .,"O,B,B,O,O,B,B,B,I,O,B,O,O,B,B,B,O,B,O,B,I,O,B,O,O"
8,101016jjcis201501016,"Subsequently , 20 ml of the solution was heated at 160 degC with a microwave irradiation power of 100 W for 10 min using a microwave system (Explorer-48 , CEM Co . )","O,O,O,B,O,O,B,O,B,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,B,I,B,I,I,I,I,O"
9,101016jjcis201501016,.,O
10,101016jjcis201501016,"After being centrifuged and washed with deionized water , the resultant precipitate was dried in a vacuum oven at 80 degC for 24 h and finally thermally treated at different temperatures for 2 h in nitrogen .","O,O,B,O,B,O,B,B,O,O,B,B,O,B,O,O,B,B,O,O,O,O,O,O,O,O,B,I,O,B,I,O,O,O,O,B,O"
11,101016jjcis201501016,"In this work , CSs with different thermal temperatures of 600 , 800 and 1000 degC are named as CS600 , CS800 and CS1000 , respectively .","O,O,O,O,B,O,O,O,B,O,O,O,O,O,O,O,O,B,O,B,O,B,O,B,O,O,O"
12,101016jjcis201501016,"The as-synthesized CSs were deposited on F-doped SnO2 (FTO ) (resistivity: 14 Ω/# , Nippon Sheet Glass , Japan ) glass by screen printing .","O,O,B,O,B,O,B,B,B,O,B,O,B,O,B,I,I,O,O,O,B,O,B,I,O"
13,101016jjcis201501016,The as-prepared counter electrodes were sintered at 400 degC for 30 min .,"O,O,B,B,O,B,O,O,O,O,O,O,O"
14,101016jjcis201501016,The conventional Pt film was also used as counter electrodes for comparison .,"O,B,B,B,O,O,B,O,O,B,O,O,O"
0,101016jmaterresbull201102029,10 .,"O,O"
1,101016jmaterresbull201102029,1016/j .,"O,O"
2,101016jmaterresbull201102029,materresbull .,"O,O"
3,101016jmaterresbull201102029,2011 .,"O,O"
4,101016jmaterresbull201102029,02 .,"O,O"
5,101016jmaterresbull201102029,"029 Preparation of nitrogen doped TiO2 photocatalyst by oxidation of titanium nitride with H2O2 In a typical synthesis , 500 mg TiN (99% Hefei Kaier Nano Company (China ) ) was dispersed in 80 mL of the different concentrations of H2O2 solution , and then the mixture was subject to 700 W ultrasonication for 10 min .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,B,B,B,I,I,I,O,O,O,O,B,O,O,B,O,O,O,O,O,B,B,O,O,O,O,B,O,B,O,O,O,B,O,O,O,O"
6,101016jmaterresbull201102029,"After vigorously stirred for 2 h , the solid was transferred into a Teflon-lined autoclave (100 mL ) and then heated at 170 degC for 24 h .","O,O,B,O,O,O,O,O,B,O,B,O,O,B,B,O,B,O,O,O,B,O,O,O,O,O,O,O"
7,101016jmaterresbull201102029,"After the hydrothermal treatment , the precipitate was collected and washed with distilled water and absolute alcohol for three times , respectively .","O,O,B,I,O,O,B,O,B,O,B,O,B,B,O,B,B,O,B,I,O,O,O"
8,101016jmaterresbull201102029,The product was dried in air at 110 degC for 24 h .,"O,B,O,B,O,B,O,O,O,O,O,O,O"
9,101016jmaterresbull201102029,"The as-synthesized samples were denoted as NT-X (X denotes the weight concentration of H2O2 in solution , wt% ) .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
0,101016jmatlet201403043,10 .,"O,O"
1,101016jmatlet201403043,1016/j .,"O,O"
2,101016jmatlet201403043,matlet .,"O,O"
3,101016jmatlet201403043,2014 .,"O,O"
4,101016jmatlet201403043,03 .,"O,O"
5,101016jmatlet201403043,"043 Facile synthesis of mesoporous Ge/C nanocomposite as anode material for lithium-ion battery In a typical synthesis of Ge/OMC nanocomposite , 1 .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,B,O,O,O"
6,101016jmatlet201403043,0 mL of TEOG was slowly dropped onto 1 .,"O,B,O,B,O,O,B,O,O,O"
7,101016jmatlet201403043,00 g of the OMC matrix material in 5 min under stirring without adding any other solvent .,"O,B,O,O,B,O,O,O,O,O,O,B,O,O,O,O,B,O"
8,101016jmatlet201403043,"Afterwards , the mixture was kept stirring for another 60 min at room temperature .","O,O,O,B,O,B,O,O,O,O,O,O,B,I,O"
9,101016jmatlet201403043,The mixture was then kept in a crucible overnight for the conversion of TEOG to GeO2 and the evaporation of ethanol byproduct .,"O,B,O,O,B,O,O,B,B,O,O,O,O,B,O,B,O,O,O,O,B,B,O"
10,101016jmatlet201403043,The GeO2/C intermediate was heated up to 500 degC with a ramp of 2 degC/min under a H2 gas flow (100 mL/min ) in a quartz tube furnace for reducing the GeO2 to Ge nanoparticles .,"O,B,B,O,B,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,B,O,O,O,B,B,I,O,O,O,B,O,B,B,O"
11,101016jmatlet201403043,The final product was collected after the furnace was cool down .,"O,O,B,O,B,O,O,B,O,O,O,O"
12,101016jmatlet201403043,"In order to increase the loading amount of Ge , the adding amount of TEOG can be increased to 2 .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
13,101016jmatlet201403043,"0 , 3 .","O,O,O,O"
14,101016jmatlet201403043,0 and 4 .,"O,O,O,O"
15,101016jmatlet201403043,0 mL .,"O,O,O"
0,101016jenconman201111001,10 .,"O,O"
1,101016jenconman201111001,1016/j .,"O,O"
2,101016jenconman201111001,enconman .,"O,O"
3,101016jenconman201111001,2011 .,"O,O"
4,101016jenconman201111001,11 .,"O,O"
5,101016jenconman201111001,001 0 .,"O,O,O"
6,101016jenconman201111001,"5:1 , 1:1 , and 2:1 2 , 2'-Bipyridine-SnCl2 complexes were prepared in MeOH (20 mL ) by adding respectively 2 .","O,O,O,O,O,O,B,I,I,B,O,B,O,B,O,B,O,O,B,O,O,O"
7,101016jenconman201111001,"5 , 5 .","O,O,O,O"
8,101016jenconman201111001,"0 , and 10 .","O,O,O,O,O"
9,101016jenconman201111001,"0 mmol 2 , 2'-bipyridine to 5 mmol SnCl2 under a nitrogen atmosphere .","O,B,B,I,I,O,O,B,B,O,O,B,B,O"
10,101016jenconman201111001,"The color of the solution turned to yellow after the addition of 2 , 2'-bipyridine and a precipitate appeared .","O,B,O,O,B,B,O,B,O,O,B,O,B,I,I,O,O,B,B,O"
11,101016jenconman201111001,The mixture was further stirred for 0 .,"O,B,O,O,B,O,O,O"
12,101016jenconman201111001,5 h before filtration .,"O,O,O,B,O"
13,101016jenconman201111001,"The solid obtained was washed two times with methanol and dried in vacuo to yield the 2 , 2'-bipyridine-SnCl2 complex .","O,B,B,O,B,O,O,O,B,O,B,O,B,O,B,O,B,I,I,B,O"
14,101016jenconman201111001,"The Sn nanoparticles/graphite (molar ratio of 1:12 ) nanocomposite was prepared by treatment of the 2 , 2'-bipyridine-SnCl2 complex with sodium borohydride in the presence of graphite .","O,B,I,B,I,O,O,O,B,O,B,O,B,O,O,B,I,I,B,O,B,I,O,O,O,O,B,O"
15,101016jenconman201111001,"In a typical synthesis , 5 mmol of SnCl2 coordinated with 2 , 2'-bipyridine was dispersed in methanol (20 mL ) and UF4 graphite (Le Carbone Lorraine ) was added .","O,O,O,O,O,O,B,O,B,B,O,B,I,I,O,B,O,B,O,B,O,O,B,I,B,I,I,O,O,B,O"
16,101016jenconman201111001,The mixture was stirred for 10 min at room temperature under a nitrogen atmosphere .,"O,B,O,B,O,O,O,O,B,I,O,O,B,B,O"
17,101016jenconman201111001,NaBH4 (5 mmol ) was then added .,"B,O,B,O,O,O,B,O"
18,101016jenconman201111001,A mild exothermic reaction was observed .,"O,O,O,O,O,B,O"
19,101016jenconman201111001,The solution was further stirred at room temperature for 2 h .,"O,B,O,O,B,O,B,I,O,O,O,O"
20,101016jenconman201111001,The reaction mixture was then concentrated in vacuo and the product washed with water (2 x 5 mL ) and acetone (2 x 5 mL ) by centrifugation (4000 rpm for 5 min ) .,"O,O,B,O,O,B,O,B,O,O,B,B,O,B,O,O,O,B,O,O,B,O,O,O,B,O,O,B,O,O,O,O,O,O,O"
21,101016jenconman201111001,Such a washing process leads to a significant loss of tin present in the crude material [18] .,"O,O,O,O,O,O,O,O,B,O,B,O,O,O,B,B,B,O"
0,101016jelectacta201201094,10 .,"O,O"
1,101016jelectacta201201094,1016/j .,"O,O"
2,101016jelectacta201201094,electacta .,"O,O"
3,101016jelectacta201201094,2012 .,"O,O"
4,101016jelectacta201201094,01 .,"O,O"
5,101016jelectacta201201094,"094 Nanocrystal manganese oxide (Mn3O4 , MnO ) anchored on graphite nanosheet with improved electrochemical Li-storage properties In a typical synthesis of Mn3O4/GN , 20 mg of graphite oxide , prepared by a modified Hummer's method [42] , was dispersed in deionized (DI ) water with sonication for 1 h to form graphene oxide .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,B,O,B,I,O,O,O,O,O,B,I,B,O,O,B,O,B,O,O,B,O,B,O,O,O,O,O,B,I,O"
6,101016jelectacta201201094,"Then , 1 mmol of Mn ( CH3COO ) 2*4H2O was added into the above solution .","O,O,O,B,O,B,I,I,I,I,O,B,O,O,O,B,O"
7,101016jelectacta201201094,"When it was dissolved completely , 28 mg of poly ( ethylene glycol ) was introduced into the solution , followed by adding 20 mL of NaOH aqueous solution (0 .","O,O,O,O,O,O,O,B,O,B,I,I,I,I,O,B,O,O,B,O,B,O,B,O,B,O,B,B,I,O,O"
8,101016jelectacta201201094,2 M ) slowly under stirring .,"O,B,O,O,O,B,O"
9,101016jelectacta201201094,The NaOH was used to adjust the pH of the reaction solution .,"O,B,O,B,O,B,O,B,O,O,O,B,O"
10,101016jelectacta201201094,It was found that Mn3O4 is difficult to form by the one-pot route without adding NaOH .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
11,101016jelectacta201201094,The mixed solution was transferred to a Teflon-lined stainless steel autoclave (100 mL ) and heated in an electric oven at 180 degC for 12 h .,"O,B,B,O,B,O,O,B,I,I,B,O,B,O,O,B,O,O,B,B,O,O,O,O,O,O,O"
12,101016jelectacta201201094,"The resultant product was separated by centrifugation , washed with DI water and dried at 60 degC under vacuum for 8 h .","O,O,B,O,B,O,B,O,B,O,B,B,O,B,O,O,O,O,B,O,O,O,O"
13,101016jelectacta201201094,MnO/GN was obtained by heating Mn3O4/GN at 400 degC for 2 h in flowing N2/H2 (10% H2 ) .,"B,O,B,O,B,B,O,O,O,O,O,O,O,O,B,B,B,O,O"
14,101016jelectacta201201094,"For comparison , bare Mn3O4 and MnO were also prepared using the similar route without adding graphite oxide in the precursors .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
0,101039c6nr03086f,10 .,"O,O"
1,101039c6nr03086f,"1039/c6nr03086f Valence and oxide impurities in MoS2 and WS2 dramatically change their electrocatalytic activity towards proton reduction Bulk molybdenum ( IV ) sulfide powder (<2 μm , 99% ) , molybdenum ( IV ) oxide powder (99% ) , molybdenum ( VI ) oxide powder (99 .","O,O,O,O,O,O,B,O,B,O,O,O,O,O,O,O,O,B,B,I,I,I,I,B,O,B,O,B,O,O,B,I,I,I,I,B,B,O,O,B,I,I,I,I,B,O,O"
2,101039c6nr03086f,"97% ) , tungsten ( IV ) oxide powder (-100 mesh , 99 .","B,O,O,B,I,I,I,I,B,O,B,O,O,O"
3,101039c6nr03086f,"99% ) , and tungsten ( VI ) oxide powder (99 .","B,O,O,O,B,I,I,I,I,B,O,O"
4,101039c6nr03086f,"9% ) were purchased from Sigma-Aldrich , Singapore while bulk tungsten ( IV ) sulfide (99 .","B,O,O,B,O,B,O,O,O,B,B,I,I,I,I,O,O"
5,101039c6nr03086f,8% ) and molybdenum ( VI ) sulfide dehydrate were obtained from Alfa Aesar (Germany ) .,"B,O,O,B,I,I,I,I,I,O,B,O,B,I,O,O,O"
6,101039c6nr03086f,Ammonium heptamolybdate tetrahydrate (99 .,"B,I,I,O,O"
7,101039c6nr03086f,"5% ) , sodium tungstate dihydrate (99 .","B,O,O,B,I,I,O,O"
8,101039c6nr03086f,"5% ) , hydrochloric acid (35% ) , acetone (99 .","B,O,O,B,I,B,O,O,B,O,O"
9,101039c6nr03086f,9% ) and carbon disulfide (99 .,"B,O,O,B,I,O,O"
10,101039c6nr03086f,"99% ) were obtained from Penta , Czech Republic .","B,O,O,B,O,B,O,O,O,O"
11,101039c6nr03086f,Selenium (99 .,"B,O,O"
12,101039c6nr03086f,5% ) and aluminium (99 .,"B,O,O,B,O,O"
13,101039c6nr03086f,"7% ) were obtained from STREM , Germany .","B,O,O,B,O,B,O,O,O"
14,101039c6nr03086f,H2S (99 .,"B,O,O"
15,101039c6nr03086f,5% ) and argon (99 .,"B,O,O,B,O,O"
16,101039c6nr03086f,"999% ) were obtained from SIAD , Czech Republic .","B,O,O,B,O,B,O,O,O,O"
17,101039c6nr03086f,Synthesis was performed by acidic decomposition of ammonium tetrathiotungstate .,"B,O,B,O,B,I,O,B,I,O"
18,101039c6nr03086f,25 g of sodium tungstate dihydrate was dissolved in 250 mL of water .,"O,B,O,B,I,I,O,B,O,O,B,O,B,O"
19,101039c6nr03086f,"Subsequently , 100 mL of 1 M hydrochloric acid was slowly added to the solution .","O,O,O,B,O,O,B,B,I,O,B,B,O,O,B,O"
20,101039c6nr03086f,The tungstic acid that was formed was purified by repeated decantation and centrifugation .,"O,B,I,O,O,B,O,B,O,B,B,O,B,O"
21,101039c6nr03086f,"Thereafter , the tungstic acid was separated by suction filtration , washed with water and dried in a vacuum oven at 50 degC for 48 hours .","O,O,O,B,I,O,B,O,B,I,O,B,O,B,O,B,O,O,B,B,O,O,O,O,O,O,O"
22,101039c6nr03086f,"Following that , 10 g of tungstic acid was dissolved in 100 mL of concentrated ammonia and filtered using a 450 nm nylon membrane .","O,O,O,O,B,O,B,I,O,B,O,O,B,O,B,B,O,B,O,O,O,B,B,B,O"
23,101039c6nr03086f,The solution was then bubbled with H2S gas for 10 hours (about 200 mL min-1 ) .,"O,B,O,O,B,O,B,B,O,O,O,O,O,O,O,O,O"
24,101039c6nr03086f,"After which , the red crystals of ammonium tetrathiotungstate formed were separated by suction filtration and washed with cold water .","O,O,O,O,B,I,O,B,I,B,O,B,O,B,I,O,B,O,B,B,O"
25,101039c6nr03086f,"To 5 g of (NH4 ) 2WS4 in 5 wt% of ammonia solution , 1 M solution of hydrochloric acid was slowly added to the mixture with vigorous stirring and under an argon atmosphere .","O,O,B,O,B,I,I,O,O,B,O,B,B,O,O,B,B,O,B,I,O,B,B,O,O,B,O,B,B,O,O,O,B,B,O"
26,101039c6nr03086f,WS3 formed was then separated by suction filtration and washed with water followed by acetone .,"B,B,O,O,B,O,B,I,O,B,O,B,O,O,B,O"
27,101039c6nr03086f,WS3 was subsequently dried under vacuum at 50 degC for 24 hours .,"B,O,O,B,O,B,O,O,O,O,O,O,O"
28,101039c6nr03086f,"Later , WS3 was dispersed in carbon disulfide and repeatedly decanted to remove excess of sulphur .","O,O,B,O,B,O,B,I,O,O,B,O,B,B,O,B,O"
29,101039c6nr03086f,"Finally , WS3 was separated by suction filtration , washed with carbon disulfide and dried in a vacuum oven at 50 degC for 48 hours .","O,O,B,O,B,O,B,I,O,B,O,B,I,O,B,O,O,B,B,O,O,O,O,O,O,O"
0,101016jmatlet201112019,10 .,"O,O"
1,101016jmatlet201112019,1016/j .,"O,O"
2,101016jmatlet201112019,matlet .,"O,O"
3,101016jmatlet201112019,2011 .,"O,O"
4,101016jmatlet201112019,12 .,"O,O"
5,101016jmatlet201112019,"019 Synthesis and electrochemical properties of submicron sized sheet-like LiV3O8 crystallites for lithium secondary batteries Analytical pure LiOH*H2O , NH4VO3 and PVP were used as raw materials without any purification .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
6,101016jmatlet201112019,"Stoichiometric amounts of LiOH*H2O and NH4VO3 (Li:V = 1:3 , molar ratio ) were mixed in deionized water with continuous magnetic stirring .","B,I,O,B,O,B,B,O,O,O,B,I,O,O,B,O,B,B,O,O,O,B,O"
7,101016jmatlet201112019,The resultant little yellow solution was then transferred to a 100 mL Teflon lined autoclave .,"O,O,O,O,B,O,O,B,O,O,O,B,B,I,B,O"
8,101016jmatlet201112019,"The autoclave was heated at 160 degC and maintained for 1 h under the microwave hydrothermal system (Sineo MDS-8 , China ) .","O,B,O,B,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
9,101016jmatlet201112019,"After the reaction , the autoclave was cooled to room temperature naturally and a colorless clear solution was obtained .","O,O,O,O,O,B,O,B,O,B,I,O,O,O,O,O,B,O,B,O"
10,101016jmatlet201112019,This solution was dried in air at 80 degC for 10 h to prepare an orange gel .,"O,B,O,B,O,B,O,O,O,O,O,O,O,O,O,O,B,O"
11,101016jmatlet201112019,The gel was ground to powders and then calcined at 400 degC for 10 h in a muffle furnace under air atmosphere .,"O,B,O,B,O,B,O,O,B,O,O,O,O,O,O,O,O,B,I,O,B,O,O"
12,101016jmatlet201112019,"Finally , the powders were cooled to room temperature naturally and ground again to obtain the final products , named as sample A .","O,O,O,B,O,B,O,B,I,O,O,B,O,O,O,O,O,B,O,O,O,O,O,O"
13,101016jmatlet201112019,"The synthesis of sample B was the same as sample A , but PVP was added into the solution before microwave hydrothermal .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
0,101039c4ta03633f,10 .,"O,O"
1,101039c4ta03633f,"1039/c4ta03633f Structure and properties of MgMxCr2-xO4 (M = Li , Mg , Ti , Fe , Cu , Ga ) spinels for electrode supports in solid oxide fuel cells Samples containing Li , Mg , Fe and Cu were prepared by citric acid-nitrate combustion synthesis , 34 while the samples containing Ti , Ga were prepared by solid state reaction .","O,B,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,B,O,O,O,O,O,O,B,O,B,O,B,O,B,O,B,O,B,O,B,I,B,I,O,B,O,O,B,O,B,O,B,O,B,O,B,I,O,O"
2,101039c4ta03633f,"After the combustion reaction was complete , the obtained powders were calcined at 1000 degC for 10 hours .","O,O,B,O,O,O,O,O,B,B,O,B,O,O,O,O,O,O,O"
3,101039c4ta03633f,"For solid state synthesis Cr2O3 (Alfa Aesar (99% ) ) , (MgCO3 ) 4Mg ( OH ) 2*5H2O (Aldrich (99% ) ) , TiO2 (Alfa Aesar (99 .","O,B,I,I,B,B,I,B,O,O,O,B,I,I,I,I,I,I,B,B,O,O,O,B,B,I,O,O"
4,101039c4ta03633f,"5% ) ) , Ga2O3 (Aldrich (99 .","B,O,O,O,B,B,O,O"
5,101039c4ta03633f,"99% ) ) were weighed in stoichiometric amounts and mixed using an ultrasonic probe in acetone for 10 minutes , in order to obtain a good dispersion of the oxides and homogenisation .","B,O,O,O,B,O,B,I,O,B,O,O,B,B,O,B,O,O,O,O,O,O,O,B,O,O,B,O,O,B,O,B,O"
6,101039c4ta03633f,"A small amount (1 wt% ) of dispersant KD-I (Tape Casting Warehouse , polyester/polyamide copolymer ) , was added and the dispersion was stirred for 2 hours .","O,B,I,O,B,O,O,B,B,B,I,I,O,B,B,O,O,O,B,O,O,B,O,B,O,O,O,O"
7,101039c4ta03633f,The mixtures were dried and the resulting powders were calcined at 1000 degC for 10 hours .,"O,B,O,B,O,O,O,B,O,B,O,O,O,O,O,O,O"
